Obs Type,Source,Species,Lat,Lon
Specimen/Lot,NMNH,Bathypolypus bairdii,39.9806,-70.6611
Specimen/Lot,NMNH,Bathypolypus bairdii,39.9944,-70.6861
Specimen/Lot,NMNH,Bathypolypus bairdii,35.825,-74.5792
Specimen/Lot,NMNH,Bathypolypus bairdii,35.825,-74.5792
Specimen/Lot,NMNH,Bathypolypus bairdii,39.825,-71.1667
Specimen/Lot,NMNH,Bathypolypus bairdii,39.9125,-69.4958
Specimen/Lot,NMNH,Bathypolypus bairdii,39.8333,-71.7167
Specimen/Lot,NMNH,Bathypolypus bairdii,33.7042,-76.0139
Specimen/Lot,NMNH,Bathypolypus bairdii,32.72,-77.03
Specimen/Lot,NMNH,Bathypolypus bairdii,39.7667,-71.0833
Specimen/Lot,NMNH,Bathypolypus bairdii,40.0383,-70.385
Specimen/Lot,NMNH,Bathypolypus bairdii,37.4,-74.2833
Specimen/Lot,NMNH,Bathypolypus bairdii,39.825,-70.9
Specimen/Lot,NMNH,Bathypolypus bairdii,39.57,-71.93
Specimen/Lot,NMNH,Bathypolypus bairdii,39.8708,-70.925
Specimen/Lot,NMNH,Bathypolypus bairdii,37.1306,-74.5722
Specimen/Lot,NMNH,Bathypolypus bairdii,39.8917,-71.2083
Specimen/Lot,NMNH,Bathypolypus bairdii,39.93,-70.58
Specimen/Lot,NMNH,Bathypolypus bairdii,39.8722,-70.9667
Specimen/Lot,NMNH,Bathypolypus bairdii,39.8833,-70.975
Specimen/Lot,NMNH,Bathypolypus bairdii,39.82,-71.42
Specimen/Lot,NMNH,Bathypolypus bairdii,39.9417,-70.9958
Specimen/Lot,NMNH,Bathypolypus bairdii,39.95,-70.525
Specimen/Lot,NMNH,Bathypolypus bairdii,39.9667,-71.2167
Specimen/Lot,NMNH,Bathypolypus bairdii,39.9244,-69.78
Specimen/Lot,NMNH,Bathypolypus bairdii,39.97,-70.1
Specimen/Lot,NMNH,Bathypolypus bairdii,39.95,-70.62
Specimen/Lot,NMNH,Bathypolypus bairdii,39.82,-71.32
Specimen/Lot,NMNH,Bathypolypus bairdii,39.95,-70.97
Specimen/Lot,NMNH,Bathypolypus bairdii,29.98,-80.17
Specimen/Lot,NMNH,Bathypolypus bairdii,34.43,-75.7
Specimen/Lot,NMNH,Bathypolypus bairdii,40.0258,-70.58
Specimen/Lot,NMNH,Bathypolypus bairdii,29.7833,-80.0958
Specimen/Lot,NMNH,Bathypolypus bairdii,29.98,-80.13
Specimen/Lot,NMNH,Bathypolypus bairdii,33.5583,-76.52
Specimen/Lot,NMNH,Bathypolypus bairdii,40.3583,-67.58
Specimen/Lot,NMNH,Bathypolypus bairdii,36.385,-74.72
Specimen/Lot,NMNH,Bathypolypus bairdii,36.4117,-74.725
Specimen/Lot,NMNH,Bathypolypus bairdii,29.9417,-80.1667
Specimen/Lot,NMNH,Bathypolypus bairdii,29.8,-80.1583
Specimen/Lot,NMNH,Bathypolypus bairdii,29.9417,-80.1667
Specimen/Lot,NMNH,Bathypolypus bairdii,29.93,-80.2
Specimen/Lot,NMNH,Bathypolypus bairdii,39.9458,-70.3417
Specimen/Lot,NMNH,Bathypolypus bairdii,39.9458,-70.8417
Specimen/Lot,NMNH,Bathypolypus bairdii,41.1917,-66.2056
Specimen/Lot,NMNH,Bathypolypus bairdii,38.8917,-72.8667
Specimen/Lot,NMNH,Bathypolypus bairdii,39.9875,-70.6083
Specimen/Lot,NMNH,Bathypolypus bairdii,40.0333,-70.45
Specimen/Lot,NMNH,Bathypolypus bairdii,44.5667,-56.6958
Specimen/Lot,NMNH,Bathypolypus bairdii,32.65,-77.02
Specimen/Lot,NMNH,Bathypolypus bairdii,39.9625,-70.9417
Specimen/Lot,NMNH,Bathypolypus bairdii,32.65,-76.8417
Specimen/Lot,NMNH,Bathypolypus bairdii,29.88,-80.18
Specimen/Lot,NMNH,Bathypolypus bairdii,29.5083,-80.1417
Specimen/Lot,NMNH,Bathypolypus bairdii,36.27,-74.75
Specimen/Lot,NMNH,Bathypolypus bairdii,29.58,-80.02
Specimen/Lot,NMNH,Bathypolypus bairdii,36.52,-74.72
Specimen/Lot,NMNH,Bathypolypus bairdii,35,-75
Specimen/Lot,NMNH,Bathypolypus bairdii,42.62,-57.42
Specimen/Lot,NMNH,Bathypolypus bairdii,42.12,-69.42
Specimen/Lot,NMNH,Bathypolypus bairdii,42.42,-66.72
Specimen/Lot,NMNH,Bathypolypus bairdii,42.28,-67.75
Specimen/Lot,NMNH,Bathypolypus bairdii,42.55,-67.43
Specimen/Lot,NMNH,Bathypolypus bairdii,42.3,-69.07
Specimen/Lot,NMNH,Bathypolypus bairdii,41.95,-69.4
Specimen/Lot,NMNH,Bathypolypus bairdii,42.67,-68.32
Specimen/Lot,NMNH,Bathypolypus bairdii,38.05,-73.83
Specimen/Lot,NMNH,Bathypolypus bairdii,43.37,-68.12
Specimen/Lot,NMNH,Bathypolypus bairdii,43.73,-67.67
Specimen/Lot,NMNH,Bathypolypus bairdii,43.55,-67.4
Specimen/Lot,NMNH,Bathypolypus bairdii,42.55,-69.35
Specimen/Lot,NMNH,Bathypolypus bairdii,42.2,-66.68
Specimen/Lot,NMNH,Bathypolypus bairdii,39.87,-71.62
Specimen/Lot,NMNH,Bathypolypus bairdii,42.35,-68.9
Specimen/Lot,NMNH,Bathypolypus bairdii,43.58,-67.92
Specimen/Lot,NMNH,Bathypolypus bairdii,35.63,-74.78
Specimen/Lot,NMNH,Bathypolypus bairdii,35.63,-74.77
Specimen/Lot,NMNH,Bathypolypus bairdii,38.8333,-72.9167
Specimen/Lot,NMNH,Bathypolypus bairdii,38.75,-73.0133
Specimen/Lot,NMNH,Bathypolypus bairdii,38.7167,-73.0167
Specimen/Lot,NMNH,Bathypolypus bairdii,38.7367,-73.015
Specimen/Lot,NMNH,Bathypolypus bairdii,37.06,-74.5683
Specimen/Lot,NMNH,Bathypolypus bairdii,42.52,-67.15
Specimen/Lot,NMNH,Bathypolypus bairdii,42.23,-69.67
Specimen/Lot,NMNH,Bathypolypus bairdii,37.87,-74.05
Specimen/Lot,NMNH,Bathypolypus bairdii,39.95,-70.05
Specimen/Lot,NMNH,Bathypolypus bairdii,42.47,-68.37
Specimen/Lot,NMNH,Bathypolypus bairdii,43.68,-67.47
Specimen/Lot,NMNH,Bathypolypus bairdii,36.12,-74.77
Specimen/Lot,NMNH,Bathypolypus bairdii,34.42,-75.77
Specimen/Lot,NMNH,Bathypolypus bairdii,37.75,-74.15
Specimen/Lot,NMNH,Bathypolypus bairdii,42.22,-66.62
Specimen/Lot,NMNH,Bathypolypus bairdii,34.37,-75.72
Specimen/Lot,NMNH,Bathypolypus bairdii,36.51,-74.73833333
Specimen/Lot,NMNH,Bathypolypus bairdii,37.453333,-74.508333
Specimen/Lot,NMNH,Bathypolypus bairdii,39.986667,-70.525
Specimen/Lot,NMNH,Bathypolypus bairdii,39.986667,-70.525
Specimen/Lot,NMNH,Bathypolypus bairdii,36.97,-74.641667
Specimen/Lot,NMNH,Bathypolypus bairdii,36.97,-74.641667
Specimen/Lot,NMNH,Bathypolypus bairdii,36.97,-74.641667
Specimen/Lot,NMNH,Bathypolypus bairdii,36.97,-74.641667
Specimen/Lot,NMNH,Bathypolypus bairdii,38.316667,-73.6
Specimen/Lot,NMNH,Bathypolypus bairdii,34.233333,-75.708333
Specimen/Lot,NMNH,Bathypolypus bairdii,37.051667,-74.611667
Specimen/Lot,NMNH,Bathypolypus bairdii,35.605,-74.785
Specimen/Lot,NMNH,Bathypolypus bairdii,35.605,-74.785
Specimen/Lot,NMNH,Bathypolypus bairdii,36.74,-74.631667
Specimen/Lot,NMNH,Bathypolypus bairdii,36.74,-74.631667
Specimen/Lot,NMNH,Bathypolypus bairdii,36.635833,-74.6475
Specimen/Lot,NMNH,Bathypolypus bairdii,36.635833,-74.6475
Specimen/Lot,NMNH,Bathypolypus bairdii,36.635833,-74.6475
Specimen/Lot,NMNH,Bathypolypus bairdii,36.635833,-74.6475
Specimen/Lot,NMNH,Bathypolypus bairdii,36.635833,-74.6475
Specimen/Lot,NMNH,Bathypolypus bairdii,37.0525,-74.663333
Specimen/Lot,NMNH,Bathypolypus bairdii,37.0525,-74.663333
Specimen/Lot,NMNH,Bathypolypus bairdii,36.598333,-74.6525
Specimen/Lot,NMNH,Bathypolypus bairdii,36.598333,-74.6525
Specimen/Lot,NMNH,Bathypolypus bairdii,36.6508335,-74.6508335
Specimen/Lot,NMNH,Bathypolypus bairdii,36.6508335,-74.6508335
Specimen/Lot,NMNH,Bathypolypus bairdii,36.6508335,-74.6508335
Specimen/Lot,NMNH,Bathypolypus bairdii,36.6508335,-74.6508335
Specimen/Lot,NMNH,Bathypolypus bairdii,37.058333,-74.5066665
Specimen/Lot,NMNH,Bathypolypus bairdii,37.058333,-74.5066665
Specimen/Lot,NMNH,Bathypolypus bairdii,37.058333,-74.5066665
Specimen/Lot,NMNH,Bathypolypus bairdii,37.058333,-74.5066665
Specimen/Lot,NMNH,Bathypolypus bairdii,37.058333,-74.5066665
Specimen/Lot,NMNH,Bathypolypus bairdii,37.058333,-74.5066665
Specimen/Lot,NMNH,Bathypolypus bairdii,37.058333,-74.5066665
Specimen/Lot,NMNH,Bathypolypus bairdii,37.058333,-74.5066665
Specimen/Lot,NMNH,Bathypolypus bairdii,37.058333,-74.5066665
