Obs Type,Source,Species,Depth
Specimen/Lot,NMNH,Bathypolypus bairdii,307
Specimen/Lot,NMNH,Bathypolypus bairdii,256
Specimen/Lot,NMNH,Bathypolypus bairdii,1542
Specimen/Lot,NMNH,Bathypolypus bairdii,1542
Specimen/Lot,NMNH,Bathypolypus bairdii,768
Specimen/Lot,NMNH,Bathypolypus bairdii,457
Specimen/Lot,NMNH,Bathypolypus bairdii,251
Specimen/Lot,NMNH,Bathypolypus bairdii,
Specimen/Lot,NMNH,Bathypolypus bairdii,
Specimen/Lot,NMNH,Bathypolypus bairdii,
Specimen/Lot,NMNH,Bathypolypus bairdii,
Specimen/Lot,NMNH,Bathypolypus bairdii,
Specimen/Lot,NMNH,Bathypolypus bairdii,411
Specimen/Lot,NMNH,Bathypolypus bairdii,684
Specimen/Lot,NMNH,Bathypolypus bairdii,646
Specimen/Lot,NMNH,Bathypolypus bairdii,305
Specimen/Lot,NMNH,Bathypolypus bairdii,
Specimen/Lot,NMNH,Bathypolypus bairdii,448
Specimen/Lot,NMNH,Bathypolypus bairdii,
Specimen/Lot,NMNH,Bathypolypus bairdii,
Specimen/Lot,NMNH,Bathypolypus bairdii,395
Specimen/Lot,NMNH,Bathypolypus bairdii,
Specimen/Lot,NMNH,Bathypolypus bairdii,
Specimen/Lot,NMNH,Bathypolypus bairdii,
Specimen/Lot,NMNH,Bathypolypus bairdii,
Specimen/Lot,NMNH,Bathypolypus bairdii,267
Specimen/Lot,NMNH,Bathypolypus bairdii,
Specimen/Lot,NMNH,Bathypolypus bairdii,919
Specimen/Lot,NMNH,Bathypolypus bairdii,343
Specimen/Lot,NMNH,Bathypolypus bairdii,300.5
Specimen/Lot,NMNH,Bathypolypus bairdii,366
Specimen/Lot,NMNH,Bathypolypus bairdii,
Specimen/Lot,NMNH,Bathypolypus bairdii,481
Specimen/Lot,NMNH,Bathypolypus bairdii,393
Specimen/Lot,NMNH,Bathypolypus bairdii,410
Specimen/Lot,NMNH,Bathypolypus bairdii,450
